origin_place_id,origin_place_name,destination_place_id,destination_place_name,media_hora
2145,"Acampamento, ES",2795,"E. M. Freire, ES",9999.0000
2145,"Acampamento, ES",2800,"E. P. Fogo, ES",9999.0000
2145,"Acampamento, ES",2803,"E. Paraju, ES",9999.0000
2145,"Acampamento, ES",2818,"E. S. Maria, ES",9999.0000
2145,"Acampamento, ES",2839,"Empossado, ES",9999.0000
2145,"Acampamento, ES",2977,"Fz. Conceicao, ES",9999.0000
2145,"Acampamento, ES",2980,"Fz. Estado, ES",9999.0000
2145,"Acampamento, ES",2981,"Fz. Guandu, ES",9999.0000
2145,"Acampamento, ES",3034,"Guarani ES, ES",9999.0000
2145,"Acampamento, ES",3054,"Ibatiba, ES",9999.0000
2145,"Acampamento, ES",3069,"Ibirucu, ES",9999.0000
2145,"Acampamento, ES",3098,"Indaia, ES",9999.0000
2145,"Acampamento, ES",3126,"Irupi, ES",9999.0000
2145,"Acampamento, ES",3190,"Iuna, ES",9999.0000
2145,"Acampamento, ES",3294,"Lajinha ES, ES",9999.0000
2145,"Acampamento, ES",3298,"Lar. Terra, ES",9999.0000
2145,"Acampamento, ES",3375,"Marechal Floriano, ES",9999.0000
2145,"Acampamento, ES",3398,"Matilde, ES",9999.0000
2145,"Acampamento, ES",3465,"Muniz Freire, ES",9999.0000
2145,"Acampamento, ES",3542,"P. do Jucu, ES",9999.0000
2145,"Acampamento, ES",3552,"Palha, ES",9999.0000
2145,"Acampamento, ES",3574,"Paraju, ES",9999.0000
2145,"Acampamento, ES",3630,"Pequia, ES",9999.0000
2145,"Acampamento, ES",3638,"Piacu, ES",9999.0000
2145,"Acampamento, ES",3696,"Ponte Baixa, ES",9999.0000
2145,"Acampamento, ES",3706,"Ponto Alto, ES",9999.0000
2145,"Acampamento, ES",3730,"Posto Ipiran, ES",9999.0000
2145,"Acampamento, ES",3732,"Posto Jaguar, ES",9999.0000
2145,"Acampamento, ES",3742,"Pouso Alto, ES",9999.0000
2145,"Acampamento, ES",3811,"Rib. Meio, ES",9999.0000
2145,"Acampamento, ES",3836,"Rio Fundo, ES",9999.0000
2145,"Acampamento, ES",3942,"Sao Bento, ES",9999.0000
2145,"Acampamento, ES",3958,"Sao Francisco, ES",9999.0000
2145,"Acampamento, ES",3983,"Sao Joao Vic, ES",9999.0000
2145,"Acampamento, ES",3994,"Sao Jose Iri, ES",9999.0000
2145,"Acampamento, ES",4005,"Sao Luiz, ES",9999.0000
2145,"Acampamento, ES",4072,"Sta Anacond, ES",9999.0000
2145,"Acampamento, ES",4078,"Sta Izabe ES, ES",9999.0000
2145,"Acampamento, ES",4082,"Sta Maria Ar, ES",9999.0000
2145,"Acampamento, ES",4085,"Sto Andre, ES",9999.0000
2145,"Acampamento, ES",4166,"Trv. 262/101, ES",9999.0000
2145,"Acampamento, ES",4169,"Trv. Dom. Mart, ES",9999.0000
2145,"Acampamento, ES",4171,"Trv. Iuna/262, ES",9999.0000
2145,"Acampamento, ES",4226,"Venda Nova, ES",9999.0000
2145,"Acampamento, ES",4232,"Viana, ES",9999.0000
2145,"Acampamento, ES",4236,"Victor Hugo, ES",9999.0000
2145,"Acampamento, ES",4246,"Vila Pontoes, ES",9999.0000
2145,"Acampamento, ES",4260,"Vista Alegre, ES",9999.0000
2145,"Acampamento, ES",4262,"Vit. T. D. Bosc, ES",9999.0000
2145,"Acampamento, ES",4265,"Vitoria, ES",9999.0000
2146,"Acarai, BA",2263,"Aratuipe, BA",9999.0000
2146,"Acarai, BA",2398,"Bom Despacho, BA",9999.0000
2146,"Acarai, BA",2448,"Buerarema, BA",9999.0000
2146,"Acarai, BA",2490,"Camacam, BA",9999.0000
2146,"Acarai, BA",2491,"Camamu, BA",9999.0000
2146,"Acarai, BA",2693,"Craveiro, BA",9999.0000
2146,"Acarai, BA",2760,"E. Belmonte, BA",9999.0000
2146,"Acarai, BA",2767,"E. Cacha Preg, BA",9999.0000
2146,"Acarai, BA",2769,"E. Camassand, BA",9999.0000
2146,"Acarai, BA",2778,"E. Guaibim, BA",9999.0000
2146,"Acarai, BA",2788,"E. Itajuipe, BA",9999.0000
2146,"Acarai, BA",2791,"E. Jaguaripe, BA",9999.0000
2146,"Acarai, BA",2817,"E. S. M. Eterna, BA",9999.0000
2146,"Acarai, BA",2821,"E. Salinas, BA",9999.0000
2146,"Acarai, BA",2826,"E. Urucuca, BA",9999.0000
2146,"Acarai, BA",2918,"Eunapolis, BA",9999.0000
2146,"Acarai, BA",2975,"Fz. Brahma, BA",9999.0000
2146,"Acarai, BA",2986,"Fz. S. Cruz, BA",9999.0000
2146,"Acarai, BA",3019,"Graciosa, BA",9999.0000
2146,"Acarai, BA",3082,"Igrapiuna, BA",9999.0000
2146,"Acarai, BA",3090,"Ilheus, BA",9999.0000
2146,"Acarai, BA",3132,"Itabuna, BA",9999.0000
2146,"Acarai, BA",3142,"Itajimirim, BA",9999.0000
2146,"Acarai, BA",3182,"Itubera, BA",9999.0000
2146,"Acarai, BA",3481,"Nazare, BA",9999.0000
2146,"Acarai, BA",3486,"Nilo Pecanha, BA",9999.0000
2146,"Acarai, BA",3525,"Orojo, BA",9999.0000
2146,"Acarai, BA",3544,"P. S. Antonio, BA",9999.0000
2146,"Acarai, BA",3722,"Porto Seguro, BA",9999.0000
2146,"Acarai, BA",3749,"Prata-Jussar, BA",9999.0000
2146,"Acarai, BA",3946,"Sao Bernardo, BA",9999.0000
2146,"Acarai, BA",3966,"Sao J. Parais, BA",9999.0000
2146,"Acarai, BA",3996,"Sao Jose Vit, BA",9999.0000
2146,"Acarai, BA",4104,"Taperoa, BA",9999.0000
2146,"Acarai, BA",4115,"Teix. Progre, BA",9999.0000
2146,"Acarai, BA",4142,"Travessao, BA",9999.0000
2146,"Acarai, BA",4180,"Ubaitaba, BA",9999.0000
2146,"Acarai, BA",4212,"Valenca BA, BA",9999.0000
2147,"Acioli, ES",2332,"Barbados, ES",9999.0000
2147,"Acioli, ES",2365,"Baunilha, ES",9999.0000
2147,"Acioli, ES",2603,"Cavalinhos, ES",9999.0000
2147,"Acioli, ES",2633,"Colatina, ES",9999.0000
2147,"Acioli, ES",3235,"Joao Neiva, ES",9999.0000
2147,"Acioli, ES",3961,"Sao G. Baunil, ES",9999.0000
2147,"Acioli, ES",4167,"Trv. Acioli, ES",9999.0000
2148,"Acopiara, CE",2202,"Alv Do Norte, GO",9999.0000
2148,"Acopiara, CE",2231,"Anton Norte, CE",9999.0000
2148,"Acopiara, CE",2284,"Assare, CE",9999.0000
2148,"Acopiara, CE",2355,"Barreiras, BA",9999.0000
2148,"Acopiara, CE",2356,"Barreiras, CE",9999.0000
2148,"Acopiara, CE",2389,"Boa Viagem, CE",2.0000
2148,"Acopiara, CE",2395,"Bodoco, MA",9999.0000
2148,"Acopiara, CE",2430,"Brasilia, DF",9999.0000
2148,"Acopiara, CE",2475,"Cafarnaum, BA",9999.0000
2148,"Acopiara, CE",2479,"Caipu, CE",1.0000
2148,"Acopiara, CE",2519,"Campo Sales, CE",9999.0000
2148,"Acopiara, CE",2539,"Caninde, CE",4.0000
2148,"Acopiara, CE",2553,"Capim Grosso, BA",9999.0000
2148,"Acopiara, CE",2571,"Carius, CE",9999.0000
2148,"Acopiara, CE",2596,"Catarina, CE",1.0000
2148,"Acopiara, CE",2617,"Chorozinho, CE",5.0000
2148,"Acopiara, CE",2691,"Crateus, CE",4.0000
2148,"Acopiara, CE",2692,"Crato, CE",3.2500
2148,"Acopiara, CE",2744,"Dom Quintino, CE",3.0000
2148,"Acopiara, CE",2919,"Exu, PE",9999.0000
2148,"Acopiara, CE",2921,"Farias Brito, CE",2.2500
2148,"Acopiara, CE",2959,"Forquilha, CE",7.0000
2148,"Acopiara, CE",2961,"Fortaleza, CE",5.7143
2148,"Acopiara, CE",3011,"Goiania, GO",9999.0000
2148,"Acopiara, CE",3049,"Horizonte, CE",4.6667
2148,"Acopiara, CE",3074,"Ibotirama, BA",9999.0000
2148,"Acopiara, CE",3088,"Iguatu, CE",0.1500
2148,"Acopiara, CE",3102,"Independencia, CE",3.0000
2148,"Acopiara, CE",3199,"Jacobina, BA",9999.0000
2148,"Acopiara, CE",3245,"Jua Norte, CE",9999.0000
2148,"Acopiara, CE",3248,"Jucas, CE",9999.0000
2148,"Acopiara, CE",3333,"Macaoca, CE",3.0000
2148,"Acopiara, CE",3338,"Madalena, CE",9999.0000
2148,"Acopiara, CE",3416,"Mimoso, BA",9999.0000
2148,"Acopiara, CE",3419,"Minerolandia, CE",0.8667
2148,"Acopiara, CE",3432,"Mombaca, CE",0.2000
2148,"Acopiara, CE",3449,"Mor Chape, BA",9999.0000
2148,"Acopiara, CE",3473,"Naraniu, CE",1.0000
2148,"Acopiara, CE",3491,"Nova Betania, CE",9999.0000
2148,"Acopiara, CE",3510,"Ocara, CE",9999.0000
2148,"Acopiara, CE",3512,"Oiticica, CE",9999.0000
2148,"Acopiara, CE",3521,"Orestina, CE",3.0000
2148,"Acopiara, CE",3532,"Ouricuri, PE",9999.0000
2148,"Acopiara, CE",3536,"Ouro Preto, MG",9999.0000
